Number,Name,Type1,Type2,Total,HP,Attack,Defense,SpecialAtk,SpecialDef,Speed,Generation,Legendary
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE
4,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,FALSE
5,Charmander,Fire,NA,309,39,52,43,60,50,65,1,FALSE
6,Charmeleon,Fire,NA,405,58,64,58,80,65,80,1,FALSE
7,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE
8,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,FALSE
9,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,FALSE
10,Squirtle,Water,NA,314,44,48,65,50,64,43,1,FALSE
11,Wartortle,Water,NA,405,59,63,80,65,80,58,1,FALSE
12,Blastoise,Water,NA,530,79,83,100,85,105,78,1,FALSE
13,BlastoiseMega Blastoise,Water,NA,630,79,103,120,135,115,78,1,FALSE
14,Caterpie,Bug,NA,195,45,30,35,20,20,45,1,FALSE
15,Metapod,Bug,NA,205,50,20,55,25,25,30,1,FALSE
16,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,FALSE
17,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
18,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,FALSE
19,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,FALSE
20,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,FALSE
21,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
22,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,FALSE
23,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,FALSE
24,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,FALSE
25,Rattata,Normal,NA,253,30,56,35,25,35,72,1,FALSE
26,Raticate,Normal,NA,413,55,81,60,50,70,97,1,FALSE
27,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE
28,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,FALSE
29,Ekans,Poison,NA,288,35,60,44,40,54,55,1,FALSE
30,Arbok,Poison,NA,438,60,85,69,65,79,80,1,FALSE
31,Pikachu,Electric,NA,320,35,55,40,50,50,90,1,FALSE
32,Raichu,Electric,NA,485,60,90,55,90,80,110,1,FALSE
33,Sandshrew,Ground,NA,300,50,75,85,20,30,40,1,FALSE
34,Sandslash,Ground,NA,450,75,100,110,45,55,65,1,FALSE
35,Nidoran@,Poison,NA,275,55,47,52,40,40,41,1,FALSE
36,Nidorina,Poison,NA,365,70,62,67,55,55,56,1,FALSE
37,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,FALSE
38,NidoranB,Poison,NA,273,46,57,40,40,40,50,1,FALSE
39,Nidorino,Poison,NA,365,61,72,57,55,55,65,1,FALSE
40,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,FALSE
41,Clefairy,Fairy,NA,323,70,45,48,60,65,35,1,FALSE
42,Clefable,Fairy,NA,483,95,70,73,95,90,60,1,FALSE
43,Vulpix,Fire,NA,299,38,41,40,50,65,65,1,FALSE
44,Ninetales,Fire,NA,505,73,76,75,81,100,100,1,FALSE
45,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE
46,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE
47,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE
48,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,FALSE
49,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE
50,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,FALSE
51,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE
52,Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE
53,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,FALSE
